Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,,,,,,,,,,
354890605000026,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,225,643,2,86,1,95,1820,48,3488096,8,1914,6,3488281,63,1087,62,2136776,47,1542,72,2329244,94
354890605000027,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,320,826,2,58,1,73,2039,63,3595458,96,2119,9,3567054,7,1346,97,3730164,16,1775,2,4156505,23
354890605000028,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,102,285,2,79,2,62,2063,54,6512170,61,2063,54,6512170,61,1148,16,3344808,38,1600,29,3941492,9
354890605000029,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,258,580,2,25,1,28,2810,1,5596245,55,2854,35,5557909,15,1863,45,4258783,17,2307,95,4248749,4
354890605000030,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,253,562,2,22,1,32,4500,66,42261858,59,4724,76,43311726,6,3050,98,25983137,61,3990,32,30245103,17
354890605000031,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,7,,,,,,,,,513,37,5072,88,513,37,5072,88,,,,,,
354890605000032,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,93,202,2,17,1,1,3586,34,23821369,1,3790,11,24409226,42,2386,19,15165019,62,3133,87,17589780,92
354890605000033,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,128,229,1,79,0,97,2736,99,13355980,6,2895,33,13672816,56,2097,92,10229192,2,2598,56,11375818,54
354890605000034,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,168,469,2,79,2,91,2679,12,8080159,7,2941,78,8099776,82,1711,56,6569289,1,2567,33,7660578,7
354890605000035,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,236,548,2,32,1,56,2317,33,5625485,28,2377,79,5628507,73,1511,61,3672094,34,1964,72,3883108,57
